E,vpp,vp,Number of DPs
6668.149247126751,3.8394519099999997,1.76155961,9
6866.273451858558,3.61925685,1.54017937,9
6947.203255175487,4.14906811,2.06933212,14
7222.146197870372,4.01987481,1.93987536,15
6965.3242524995685,3.17188716,1.09399486,11
6995.504313619176,3.7721554,1.6942631,12
6972.342159741661,3.70367372,1.62143552,12
7313.843585261072,4.07294798,1.99571419,14
6943.409739780153,3.1816327600000003,1.103477,8
6898.650319953391,3.8801457900000003,1.80185843,12
7078.3017528927985,3.30634832,1.22911453,12
7023.128958961977,3.30885053,1.22924614,13
7109.557236175558,3.00292182,0.92502952,14
7146.681371784374,3.3034510599999996,1.22555876,16
6845.827839424054,3.40011549,1.31682372,12
7266.028711092886,4.04884768,1.96726799,12
6837.6945636775645,2.9699978799999998,0.89210558,12
7102.0714854115395,3.49243402,1.4137516,14
7093.666469395942,3.77347242,1.69558012,17
6834.297431900168,3.5800115999999997,1.5021193,14
6790.163142047799,3.11236083,1.03446853,12
6723.046295919874,3.00924319,0.93135089,10
7618.460916000717,4.15064835,2.07117581,14
6923.407829110571,2.8970385199999997,0.81940967,14
7028.453741601651,2.98040181,0.90171939,14
6940.902908241462,3.2277261,1.15049231,12
7188.810795205145,3.58119678,1.5021193,13
7036.764568380086,3.23365235,1.15576005,14
7232.75663164284,3.79730928,1.71941698,14
7136.2475824382855,2.9867231800000003,0.9076457,15
7108.27623725022,3.56091571,1.48368192,14
7191.834479253214,3.44515538,1.36792159,16
7463.67107922139,3.3999838799999997,1.32209158,14
7194.786693595907,3.42013323,1.3407923,14
7008.212040340458,2.9773729400000004,0.89711004,16
7306.933811302557,3.1344855999999996,1.0565933,12
7132.4354303618475,3.1452845300000005,1.0664705,14
7013.32720405372,3.1703069299999997,1.09215117,14
7610.179074152421,3.38707769,1.30918539,16
7188.948106100855,3.48479581,1.4044013,12
7195.147733326298,3.3575778000000005,1.28034401,14
7187.157856624711,3.3333458900000004,1.2561121,12
7113.291434857581,3.45134508,1.37345278,13
7379.1235265316145,3.20625973,1.12586522,18
7921.999603870839,3.87369263,1.79501021,12
7333.863661799182,3.6482299499999997,1.57033765,16
7773.195272845657,3.2485339600000005,1.17130017,17
7696.703441105361,3.4155238800000003,1.33723652,17
7353.945567181437,3.3030558800000005,1.22582209,16
7269.673456938404,3.85881114,1.77960181,14
7054.437954926947,3.31701553,1.23899162,15
7705.862874123973,3.7384413399999996,1.66054904,16
7453.88599103268,2.93852251,0.85760134,15
7285.076335056878,3.31517184,1.23793805,16
7672.621825700675,3.1460747700000002,1.06778741,17
7998.369273553993,3.2166635999999995,1.1387713,17
7432.453770524254,3.6021364900000004,1.5249027,16
7573.411218085312,3.48756134,1.40966904,15
7098.490073492739,3.03874284,0.96032387,14
7800.964225991996,3.3866826199999998,1.30734169,13
7539.706083802343,3.3811513200000003,1.30391753,15
7738.065897140649,3.48532259,1.40743029,17
7229.892932927235,3.16227341,1.08503962,13
7774.840469444222,3.36824524,1.29035294,14
7862.247060339084,4.14801454,2.07078075,13
7411.9878571889385,3.45002818,1.37213588,13
8088.648379405857,3.41381169,1.33605123,16
8746.953454222261,3.4471308,1.3692385,18
8160.465486663739,3.20481086,1.1270504,11
8478.649793686429,3.80442095,1.72626519,16
7959.697435431393,3.2964711199999996,1.21857882,15
8011.064548372284,3.13369536,1.05316925,18
7864.627490514368,3.52601647,1.44878268,17
8298.836873244323,3.75240099,1.67398202,16
7688.3072376096125,3.75608861,1.67885482,15
7858.966471126805,3.79888964,1.72126079,16
7451.501877668412,3.3283414799999997,1.25044918,16
8033.187371827264,3.6719352,1.5940429,17
7863.558538421386,3.14423108,1.06699729,16
8527.101615685006,3.5102129,1.43258405,20
7454.828326454515,3.2869890900000005,1.2097553,16
8292.019632675672,4.12022662,2.04299283,12
7921.633060680381,3.21100068,1.13376689,16
8194.819658421873,4.15183353,2.07275605,19
8224.631909257128,3.5729000600000003,1.49250555,11
7396.247962174067,3.21942913,1.14140522,16
7576.823423339946,3.60819447,1.53030217,17
7416.670793997127,3.2614401600000003,1.18117726,14
8031.659842293631,3.89700281,1.81976902,12
7765.052496577972,3.3773322100000005,1.30009842,18
8133.246510769967,4.13721537,2.05932307,15
8040.535178239149,3.8898911499999995,1.81041861,16
9587.428175862256,4.150253299999999,2.06946373,19
8562.44892156289,3.53892266,1.46103036,17
8133.889457662568,4.151570080000001,2.07275605,14
7875.526549555908,3.8215411900000005,1.7374593,17
7641.883168631114,3.70999515,1.6323663,18
8731.733001438717,4.15117526,2.07328296,18
9312.576397393039,4.157891749999999,2.07249284,18
10862.109138930895,4.152228839999999,2.07222939,17
8204.023200501482,3.92874145,1.85124421,13
6940.1010894762485,3.7223744400000003,1.64184833,9
6871.1595466183535,3.4778158599999998,1.39992356,9
6837.792039628033,3.0562585,0.97586399,11
6956.882258771916,3.3599484,1.28231955,9
