E,vpp,vp,Number of DPs
66350328.50824915,20.1682487,0.287664,1
66549358.95971165,20.180104,0.2850292,1
66716223.922094144,20.2775929,0.2929337,1
67113679.6617622,20.415920800000002,0.3166471,1
67121729.33354266,20.2762757,0.2599984,1
66833852.99596461,20.3777159,0.3403605,1
66959981.81882964,20.3487342,0.361439,1
66879709.6456761,20.310528,0.2863466,1
66948877.73263602,20.2670537,0.2599984,1
66645581.8972826,20.265736099999998,0.3522172,1
66748375.114354394,20.2775938,0.2995207,1
66800789.41527592,20.317115,0.3285038,1
66728197.323756374,20.2248975,0.2863466,1
67483611.85682286,20.3223849,0.3021556,1
67341648.5427183,20.379033,0.3377256,1
67268696.76433307,20.335559900000003,0.2955685,1
67099293.87886481,20.2868144,0.3074252,1
66992717.48415309,20.365860400000003,0.3390431,1
66956711.67162834,20.3816681,0.3443127,1
66747454.59975488,20.286815400000002,0.3140123,1
66795063.343889974,20.2815459,0.2771247,1
66621695.96044894,20.2275321,0.3205993,1
66998407.86518268,20.2710056,0.3179645,1
67169156.20400988,20.3184322,0.2902988,1
67082605.31151298,20.302623999999998,0.2995207,1
66898108.57491119,20.311845899999998,0.3219167,1
66653470.49226666,20.244657,0.2968859,1
66726607.79812264,20.1880082,0.2758073,1
66218903.462621994,20.2433403,0.3337734,1
66879125.37340109,20.282863600000002,0.2823944,1
67230283.42378342,20.2947189,0.3153297,1
67172656.236798,20.2802282,0.281077,1
67342142.35209294,20.4027464,0.2863466,1
67183655.96760142,20.3092107,0.2626332,1
67218361.87001786,20.3935246,0.3522172,1
67422470.38518895,20.408016,0.3140123,1
67635034.47103426,20.3750819,0.2916163,1
67028096.44532342,20.3843043,0.2771247,1
67278569.87732323,20.4238267,0.3522172,1
67064071.94709488,20.3039406,0.3113774,1
67477147.3389087,20.3566387,0.2718551,1
66970297.997565664,20.2407062,0.2850292,1
66937042.68806436,20.3658602,0.2639506,1
66757155.537480496,20.227531300000003,0.2916163,1
67237558.0558686,20.3368767,0.3113774,1
67034281.326273404,20.315798,0.3482649,1
67049330.242719315,20.2578313,0.2784421,1
66956571.405716725,20.3223859,0.3706609,1
67033281.9582208,20.251244800000002,0.2573636,1
66958194.39909645,20.393526,0.3047904,1
67110069.22493164,20.323701800000002,0.3047904,1
67107623.93556397,20.3210677,0.3047904,1
67140009.00212693,20.2894491,0.2837118,1
67340152.21721345,20.405381600000002,0.332456,1
67099475.40334684,20.3157972,0.2705377,1
67101220.77983309,20.3408293,0.2968859,1
67402281.0475912,20.334242099999997,0.2995207,1
67090973.51389397,20.384302899999998,0.3469475,1
67070183.07377236,20.297353500000003,0.3140123,1
67077786.76166658,20.389573600000002,0.3364082,1
66856464.283762224,20.245976,0.2679029,1
66841806.287313014,20.2525628,0.3061078,1
