0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
110573,111374,111895,112424,112930,113717,117254,122235,122839,123887,124422,125138,126328,126921,127996,128797,130892,132358,133147,134258,136381,139977,144479,146202,148782,182487,199659,450477,572158,599905,830496,904714,913735,1024836,1083762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110571,111397,112138,112743,122732,123643,124933,125700,126584,127300,130721,135185,141984,143304,162592,365700,397064,397679,765997,925126,962265,1132659,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110591,111402,111978,112618,113237,114377,126858,131364,135825,136709,139266,146404,147859,151795,155825,160666,164940,182591,279790,343086,343750,374113,425106,457338,474746,494087,538580,664921,741898,1047398,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110587,111363,111966,112543,113238,114333,126214,126812,127782,128894,129922,130483,131933,132472,134179,135801,137831,139643,140552,142578,143935,149239,180427,185467,196184,199736,204310,206035,211777,216279,239891,448251,461387,721163,721858,874677,917411,1163988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4359,56025,110591,111401,111969,112569,113122,113962,122494,123029,124422,125196,127306,128103,128832,130232,132741,135452,138062,143769,146715,148672,151372,152361,153863,157059,157896,159128,161398,199886,201092,202042,230122,300395,323682,372290,386810,478734,495823,501605,824273,881857,1060315,1099211,1102476,1155342,1224162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110574,111461,112057,112931,113707,115095,118433,119076,120254,124001,124525,126668,128137,129451,130071,130828,131815,132330,133259,133967,135965,137481,138840,139358,146541,151159,167499,172576,185208,186267,191177,193581,196000,197007,202788,205860,206398,325953,409747,501081,521443,543345,780125,804184,869858,1058845,1060518,1082087,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110563,111378,111881,112525,113123,118376,120411,122815,124115,124635,125301,126065,126735,127552,128240,129092,129611,130569,131148,132516,133457,133971,135415,138120,139073,141480,143017,144642,147936,149589,155436,160030,194505,208991,211268,211775,218769,223430,420231,423020,423717,456181,751289,955638,1029878,1207432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110579,111431,111983,112844,113807,122742,123557,126197,126799,128089,129487,130125,133600,134687,137625,138286,140250,142861,143832,145200,147473,148035,150130,151675,152432,154053,158326,160227,166555,178733,179313,184890,187226,189684,205231,207653,213287,219037,398139,552397,610210,783732,959824,980028,981711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110596,111378,111904,112463,112984,113931,120653,129374,130712,132007,133455,135894,137027,138987,142205,150154,162224,167142,170624,439369,539973,906517,944504,1002308,1002810,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110584,111512,112040,112736,113241,113768,120959,123327,125336,128452,129806,131334,132557,133611,134869,136995,138506,140089,151046,161590,177801,179678,182356,189283,193228,396959,444099,553358,583616,658028,894285,1038882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
