0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
111614,116748,124639,131190,137046,145197,154019,182757,199991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111613,116923,125310,130867,137679,143570,157041,164915,212079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111625,117461,123280,132112,139522,146643,154938,165185,175096,182896,192530,198233,219279,425170,-1,-1,-1,-1,-1,-1,-1,-1
111607,116876,121877,126884,133195,142862,149507,162000,167267,180717,185830,196461,208001,221267,240177,-1,-1,-1,-1,-1,-1,-1
111631,116917,122798,129257,135729,141768,151661,161653,182333,201434,229054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111645,116857,122579,129754,139108,151407,167802,172880,191401,197359,203037,208045,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111619,116828,122019,127903,135702,141742,148644,160279,169625,194805,212060,223766,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111623,116892,123052,130107,138488,145454,152745,158574,179085,185061,190474,197921,205536,219228,-1,-1,-1,-1,-1,-1,-1,-1
111654,117744,123217,133778,142459,167435,177119,200661,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111625,116868,122073,130166,135209,140380,145784,151299,161831,180410,189581,199909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111624,116882,122812,128091,135008,140345,150896,156313,199167,206349,213854,219798,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111636,116879,122029,128549,137172,142792,148883,154336,160692,169389,194698,205695,212712,-1,-1,-1,-1,-1,-1,-1,-1,-1
111644,116921,123578,131270,138804,148301,153933,161731,184533,192036,198342,207558,215359,224810,-1,-1,-1,-1,-1,-1,-1,-1
111655,117300,122915,130338,136098,141483,149420,155197,160308,172972,182109,195142,205825,213996,219400,710536,-1,-1,-1,-1,-1,-1
111621,116899,124852,130326,136755,141765,148809,159145,164412,183102,196291,203237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111642,116875,123276,129378,136606,142128,148733,181598,187410,192543,202516,209222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111633,116902,121909,131970,137695,144651,150838,158457,164652,200126,206775,212530,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111642,116836,125884,131710,136847,154008,161898,171574,180190,188816,201673,211578,223855,229873,-1,-1,-1,-1,-1,-1,-1,-1
