0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
110591,111350,112057,112640,113423,117231,199583,354021,431630,820167,830361,835495,940590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110588,111347,112056,112642,113423,317496,365668,397067,397742,412892,454916,479667,765964,1220819,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110608,111354,112060,112644,113415,166916,343056,381520,425013,444628,474688,476747,493993,501956,701127,1133929,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110604,111399,111970,112654,113424,115479,130340,180322,185429,195121,212456,218640,220891,225391,237424,344559,351228,441536,507666,1088577,1131154,-1,-1,-1,-1,-1,-1,-1,-1
110607,111502,112066,112653,113431,114009,115862,151261,190101,199881,222328,386703,418608,439075,459942,476178,478714,495825,817309,824216,913199,1060231,1102453,1155319,1224107,-1,-1,-1,-1
110591,111388,112064,112643,113416,114002,114584,116629,118394,118970,137365,196970,202685,205811,221505,355700,400146,409729,543256,752146,804161,-1,-1,-1,-1,-1,-1,-1,-1
110580,111374,111955,112631,113404,120901,124627,132616,136999,208914,223340,396531,411018,422997,456093,471531,529395,809565,821747,955555,1071397,-1,-1,-1,-1,-1,-1,-1,-1
110596,111393,112061,112645,113416,118661,204199,205147,373306,502689,610125,799773,980010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110613,111409,112077,112662,113444,114603,163333,330390,438388,439277,539934,605159,1002236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110601,111400,112057,112728,113398,113898,115833,179587,216965,371673,411571,471891,657969,955687,1029595,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110595,111390,111983,112654,113425,156725,221147,243398,439332,451292,476903,738946,746329,783651,815615,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110612,111410,111974,112651,113438,194304,210744,212336,222116,231833,320402,322115,418869,458773,469183,517198,1133502,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110622,111416,111992,112666,113444,150014,151902,152611,159481,170668,197999,208048,210536,214934,328898,347178,351042,365819,370328,376226,384320,390396,422163,474865,537405,986737,1110252,-1,-1
110629,111375,111997,112669,113448,125247,205554,219045,225480,232209,332370,430297,442995,555977,710396,763979,869685,898898,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110609,111394,111951,112642,113218,118245,124518,125518,195825,199674,204767,241133,412529,497800,502862,535495,547197,557713,834006,951739,1141927,-1,-1,-1,-1,-1,-1,-1,-1
41629,110624,111369,111975,112658,113440,114012,114599,123871,126021,202170,215322,230841,377103,436536,454562,534450,558241,941346,1019314,-1,-1,-1,-1,-1,-1,-1,-1,-1
110611,111404,111968,112647,113422,113995,114680,119310,199731,212152,213814,216425,223224,235188,347098,494200,500292,725818,853584,965764,982157,-1,-1,-1,-1,-1,-1,-1,-1
110616,111401,111975,112655,113427,114006,114590,126460,151852,200407,201233,214223,311914,319839,364609,582161,742684,954350,973012,1186864,1210092,-1,-1,-1,-1,-1,-1,-1,-1
110606,111337,112647,127037,128099,150349,154829,158411,184866,190299,219814,224339,228179,450881,469986,495383,533503,544987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110603,111408,112669,347511,485201,596040,829077,948636,1136777,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110586,111391,112649,128245,214943,359322,426126,426805,442659,509039,514059,754714,920998,1042704,1157819,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110597,111396,112652,122892,129255,334766,412157,441355,722930,759568,1189484,1222947,1249105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110625,111352,112066,112662,113436,120962,125727,151974,170739,189613,199759,210530,302921,431412,476515,678864,1007005,1023023,1065823,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110622,111406,112075,112672,113434,123008,126758,129655,193670,210431,214974,228925,236441,241597,358082,361121,365863,369587,387181,440456,519010,612548,774178,838042,842347,999885,1104804,1123484,1175875
110611,111417,112086,112667,113435,123197,124970,128714,200736,408728,452605,1013482,1057774,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110595,111395,111980,112655,113431,122555,384086,387732,624105,772184,1009250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110584,111401,112051,112642,113408,113982,121306,122078,123237,129264,159869,209553,307837,401113,456387,462710,505000,834179,907338,1050769,1236566,-1,-1,-1,-1,-1,-1,-1,-1
110613,111409,112074,112661,113436,114013,114601,124776,126673,158791,178135,199632,280391,345188,373303,418483,467474,484426,780950,861038,884615,1125427,1240678,-1,-1,-1,-1,-1,-1
110580,111407,112064,112650,113419,115827,120082,124532,198896,204948,347471,482767,989996,1209707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110644,111391,112082,112670,113441,114020,114699,120683,121971,200672,208285,219106,248008,383665,392266,509219,742124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110621,111412,112645,204963,233950,314413,409045,420419,481248,849428,1032745,1238548,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110639,111398,112080,112665,113443,119451,151757,194390,210113,215249,221561,406468,480574,1046477,1115892,1235438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110633,111357,111988,112667,113936,120883,125757,126466,127665,130286,269943,294464,467552,496854,798614,960182,1049016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110635,111393,112071,112659,120985,124491,173897,177121,191067,355425,401806,418308,428523,749460,752500,763192,778010,989464,1006562,1008865,1078598,1097500,-1,-1,-1,-1,-1,-1,-1
110621,111393,112072,112660,113436,114690,119726,121724,125561,167218,190411,195578,218480,230790,346527,839723,1065471,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110640,111395,112068,112658,113424,119145,122738,168747,185573,204399,435882,1144676,1151631,1184535,1190311,1193230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21121,110634,111347,112065,112650,113418,117363,119821,121351,346990,389851,666669,758194,881513,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110631,111354,112084,112669,113435,113937,120736,123866,135521,136080,208372,221848,224322,431157,483586,724722,763553,987788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110639,111363,112078,112665,113438,116923,117451,120198,121360,124080,164422,171762,174043,178709,185217,188230,191106,204417,205486,209300,214605,228193,232229,339364,668010,1071023,-1,-1,-1
110625,111354,112063,112650,113418,122484,393757,920138,936354,940305,1053790,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
