E,vpp,vp,Number of DPs
63839273.420857534,20.252562899999997,19.8713627,1
63997871.04496858,20.2380702,19.8687267,1
64022457.48958728,20.1115985,19.8015385,1
63877716.02090374,20.2104052,19.8344746,1
63570205.39377655,20.0733946,19.7330341,1
63270143.56035172,20.1735173,19.7804604,1
63751595.32795887,20.133995600000002,19.8041744,1
63882418.568168074,20.2011824,19.8147125,1
63710944.72115767,20.1537558,19.7975864,1
63550334.809032105,20.1708837,19.7567482,1
63668779.697646506,20.1748346,19.8068085,1
63543271.320461996,20.1405817,19.7488422,1
63705675.3062452,20.160344,19.8133965,1
63694784.51549964,20.1735184,19.8450146,1
63612489.89328107,20.1563919,19.8094444,1
63536098.38669677,20.1405832,19.8054924,1
63531891.60434736,20.1300433,19.7686043,1
63731520.45609214,20.1945961,19.8476486,1
63722015.70648366,20.1063294,19.7541122,1
63511320.97109036,20.1998654,19.7936344,1
63620987.13316719,20.3157981,19.9187889,1
63273393.98653138,20.122137799999997,19.7883644,1
63350842.51253264,20.1102828,19.7211781,1
63527807.083579004,20.1300431,19.7725563,1
63929809.48219546,20.112916,19.7883644,1
63662724.97342887,20.107647699999998,19.7738743,1
63742119.526818186,20.181421999999998,19.8476486,1
63484993.0622703,20.162979,19.8226185,1
63401355.679167494,20.153757300000002,19.7699223,1
63579034.66197323,20.123455500000002,19.7844124,1
63195341.33395032,20.1010606,19.702734,1
63789686.02812955,20.1418992,19.7844124,1
63968541.54479414,20.1735176,19.8476486,1
64355232.000491835,20.2275323,19.8674107,1
64252557.7430941,20.2328005,19.8595047,1
64172783.68795316,20.235436,19.8700447,1
64092188.51149522,20.2538792,19.8687267,1
63798275.792953104,20.1379467,19.7883644,1
63935089.291858666,20.2288486,19.8292046,1
64338619.86230578,20.1787868,19.8423786,1
64088873.63334314,20.2407063,19.8805847,1
64239871.75310931,20.147170199999998,19.8318405,1
64700133.80143798,20.2657368,19.9240589,1
64230793.250184394,20.249926600000002,19.8766308,1
64362590.15373119,20.1814224,19.8660927,1
64077755.89105873,20.276275300000002,19.8911228,1
64062353.619762115,20.2196275,19.8489666,1
64430679.70384531,20.188010000000002,19.8674107,1
