0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
104698,111375,111971,112764,113450,137144,140244,143048,156902,194532,854187,-1,-1,-1,-1
105274,111437,111981,112611,163905,198453,-1,-1,-1,-1,-1,-1,-1,-1,-1
111436,111981,112557,138096,145609,153820,168770,186562,697544,-1,-1,-1,-1,-1,-1
111449,111949,112544,163426,174959,187771,242086,-1,-1,-1,-1,-1,-1,-1,-1
104665,111450,112154,112670,116322,147584,152915,160096,164458,165493,172216,692687,-1,-1,-1
111457,112141,112674,113923,148099,157254,163378,-1,-1,-1,-1,-1,-1,-1,-1
104323,111440,112021,112758,148054,164976,-1,-1,-1,-1,-1,-1,-1,-1,-1
111432,112031,112562,113333,113851,141840,145702,159205,164404,167150,169228,343587,-1,-1,-1
111441,111966,112726,113241,113914,114465,115243,390986,-1,-1,-1,-1,-1,-1,-1
103913,111430,112162,112770,162639,165858,173991,-1,-1,-1,-1,-1,-1,-1,-1
105269,111384,111972,112517,113025,113922,160514,-1,-1,-1,-1,-1,-1,-1,-1
111429,112028,112562,113101,113812,145360,171340,174732,181485,387943,-1,-1,-1,-1,-1
111488,112034,112684,113245,114883,154757,159902,161512,167850,180494,376048,-1,-1,-1,-1
103908,111385,111983,112545,113060,114103,171383,460884,-1,-1,-1,-1,-1,-1,-1
111597,112216,112814,113332,113889,136206,140891,159165,722028,-1,-1,-1,-1,-1,-1
111586,112163,112768,113539,144735,154546,158214,170465,177725,-1,-1,-1,-1,-1,-1
16821,111499,112054,112563,113789,152490,163444,168544,173172,-1,-1,-1,-1,-1,-1
111442,111949,112561,113291,115419,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102624,111379,112026,112560,113242,115813,153637,154925,173064,179578,206942,813595,-1,-1,-1
111393,112036,112949,113928,141998,152709,166464,-1,-1,-1,-1,-1,-1,-1,-1
111464,111965,112749,249961,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104136,111421,111972,112762,140953,181077,215721,-1,-1,-1,-1,-1,-1,-1,-1
111508,112026,112565,114095,151176,154209,169851,183971,192255,194831,212576,372313,-1,-1,-1
102855,111479,112028,112763,159966,167474,170865,172723,184356,186813,935022,-1,-1,-1,-1
103756,111436,111979,112481,113075,136833,139941,148924,167880,239472,-1,-1,-1,-1,-1
104415,111455,111990,112774,113404,154428,155553,161554,-1,-1,-1,-1,-1,-1,-1
103872,111470,112151,112711,145141,185092,498765,-1,-1,-1,-1,-1,-1,-1,-1
104107,111444,111946,112457,113015,148494,159484,165608,183472,200188,259632,-1,-1,-1,-1
111383,112024,112726,113324,113915,135896,150692,-1,-1,-1,-1,-1,-1,-1,-1
104677,111384,112026,112550,113103,159255,179073,366317,-1,-1,-1,-1,-1,-1,-1
111384,111972,112510,113020,113537,142998,159233,-1,-1,-1,-1,-1,-1,-1,-1
105214,111500,112026,112723,131036,158201,163001,186059,196635,-1,-1,-1,-1,-1,-1
105975,111433,112029,112864,129893,149357,-1,-1,-1,-1,-1,-1,-1,-1,-1
