0,1,2,3,4,5,6,7,8,9,10
111863,140176,146432,151874,156996,174716,194638,-1,-1,-1,-1
111865,144709,155760,168848,174108,180069,185186,198480,212340,-1,-1
111868,128770,140672,150066,156446,166938,186652,196484,205996,-1,-1
111865,152229,161677,175056,183038,193817,208229,-1,-1,-1,-1
111863,148177,158270,163853,172270,183463,196337,-1,-1,-1,-1
111871,145177,150449,159131,178109,186242,198286,204123,-1,-1,-1
111864,145359,161438,167259,176863,187864,194800,201094,208832,-1,-1
111861,141946,149657,157857,163249,169352,175108,180129,186968,-1,-1
111860,151897,158336,169306,194427,204240,-1,-1,-1,-1,-1
111871,154079,159274,165559,172080,177277,182629,192096,205056,212404,222362
111866,160579,174919,180310,185721,197178,202639,-1,-1,-1,-1
111869,145855,160871,166596,174823,182558,188129,194507,201430,-1,-1
111872,160023,167942,176456,181922,195178,-1,-1,-1,-1,-1
111867,162749,172804,181430,187450,204944,-1,-1,-1,-1,-1
111871,138090,150983,163462,170249,180866,-1,-1,-1,-1,-1
111872,158691,169774,178230,183737,191551,201048,-1,-1,-1,-1
111870,143333,152622,157989,164771,170896,177355,185435,-1,-1,-1
111870,147644,167572,195962,204870,-1,-1,-1,-1,-1,-1
111868,168894,179650,188505,195703,207004,214343,-1,-1,-1,-1
111875,142957,152795,160674,166583,175500,202539,-1,-1,-1,-1
111864,183353,-1,-1,-1,-1,-1,-1,-1,-1,-1
111856,144571,180867,191859,215771,-1,-1,-1,-1,-1,-1
111863,140626,146541,155684,162341,169706,176601,212661,-1,-1,-1
111867,147666,161298,168533,178399,190470,198678,-1,-1,-1,-1
111865,139986,148978,160339,173264,178382,188030,196681,222756,-1,-1
111874,140671,152335,159807,173550,192810,201293,-1,-1,-1,-1
111863,144952,152972,162691,169633,176352,188525,200524,-1,-1,-1
111867,150727,160556,165665,180469,190298,198254,206318,-1,-1,-1
111864,152082,157632,167749,172911,184178,-1,-1,-1,-1,-1
111868,144145,149531,154923,164326,176592,187125,196618,202072,-1,-1
111870,154250,180932,186350,233513,-1,-1,-1,-1,-1,-1
111869,135119,158301,166234,172928,184821,210354,-1,-1,-1,-1
111876,149183,154853,160787,166956,183423,-1,-1,-1,-1,-1
111881,145237,153244,161694,186353,234933,-1,-1,-1,-1,-1
111867,142699,150158,161592,172840,-1,-1,-1,-1,-1,-1
111869,151464,163917,176565,188424,194130,201001,-1,-1,-1,-1
111864,151345,158847,166940,175921,184095,193751,205424,-1,-1,-1
111870,139653,148151,154991,162587,169733,178494,195005,-1,-1,-1
111869,149245,159233,178815,184583,189795,210141,-1,-1,-1,-1
111873,137033,143137,155783,164635,169867,175690,185467,193833,199434,207538
111874,146610,184815,197305,-1,-1,-1,-1,-1,-1,-1
111867,143117,155129,160672,166009,175371,184172,198359,211502,-1,-1
111864,157926,163350,185214,192142,225504,-1,-1,-1,-1,-1
111863,143929,154353,164473,180609,186563,-1,-1,-1,-1,-1
111876,150700,158783,164812,180723,190638,196322,208280,-1,-1,-1
111878,171801,176999,190562,198441,212727,-1,-1,-1,-1,-1
111861,177502,200600,208238,222904,-1,-1,-1,-1,-1,-1
111895,146429,163080,178748,185883,192242,201393,-1,-1,-1,-1
111870,150229,156278,161525,168370,174977,188387,193702,201241,-1,-1
111866,155325,186619,-1,-1,-1,-1,-1,-1,-1,-1
111865,169629,175541,180626,185712,193790,207962,216888,-1,-1,-1
111867,155560,165355,194648,208655,-1,-1,-1,-1,-1,-1
111881,159325,183799,189746,202279,221864,-1,-1,-1,-1,-1
111864,149489,157947,167766,176808,182590,187791,209948,-1,-1,-1
111863,145991,154837,163362,181261,186279,200410,-1,-1,-1,-1
111870,168711,184453,197812,216687,-1,-1,-1,-1,-1,-1
111874,162243,168245,184048,206014,212757,222152,-1,-1,-1,-1
111871,143587,149729,161190,181864,188032,-1,-1,-1,-1,-1
111869,133827,146985,157045,166413,-1,-1,-1,-1,-1,-1
111877,152118,166513,173757,182874,196502,-1,-1,-1,-1,-1
111867,154873,167857,173561,181183,187307,201610,-1,-1,-1,-1
111865,142623,153353,163224,168582,176077,183879,190771,196698,-1,-1
111873,126701,170985,179304,188394,213148,-1,-1,-1,-1,-1
111876,156865,168742,174939,190192,197291,210969,-1,-1,-1,-1
111869,143358,149287,157545,167527,182785,200045,-1,-1,-1,-1
111867,144046,156305,162915,172571,179597,185316,203642,210346,221002,-1
111867,134317,174401,194695,227475,-1,-1,-1,-1,-1,-1
111874,140041,145204,157218,167159,176745,183417,190530,203699,-1,-1
111880,152841,162299,169913,188523,199039,-1,-1,-1,-1,-1
111878,171835,177807,183881,199150,228651,-1,-1,-1,-1,-1
111880,173123,182431,190901,204181,-1,-1,-1,-1,-1,-1
111864,177166,183667,191258,206395,219196,-1,-1,-1,-1,-1
111874,134657,153436,162597,180837,188016,209196,229408,-1,-1,-1
111872,160846,177314,187498,199031,-1,-1,-1,-1,-1,-1
111862,129626,162301,170015,182324,193599,198804,208362,-1,-1,-1
111868,189995,203558,-1,-1,-1,-1,-1,-1,-1,-1
111869,176173,184934,205290,-1,-1,-1,-1,-1,-1,-1
111865,126941,155082,160883,169475,175895,183094,192415,198118,-1,-1
111860,128372,159936,173107,179785,191706,204885,-1,-1,-1,-1
111887,140340,158623,172164,193678,225339,-1,-1,-1,-1,-1
111871,122488,148537,158331,163992,169168,174847,180520,-1,-1,-1
111868,125742,158981,166813,172606,180892,186206,203004,219774,-1,-1
111876,124158,131222,156756,167571,174482,185776,194588,200858,210069,-1
111873,135157,168330,184281,190450,196833,210044,220648,-1,-1,-1
