0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
104472,111404,112445,113025,113609,114199,114868,115663,117248,181450,854242,-1,-1,-1,-1,-1,-1,-1,-1
104975,111399,112260,113023,113619,114188,114883,115650,198391,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104734,111397,112256,113020,113616,114203,114870,115660,186431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105407,111411,112449,112984,113600,114867,116145,242080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104504,111412,112439,113017,113599,114099,114858,116144,692697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104692,111419,112261,113032,113617,114212,114872,116133,164227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103941,111402,112445,113026,113607,114194,114879,115648,187221,501620,-1,-1,-1,-1,-1,-1,-1,-1,-1
103114,111394,112257,113026,113811,114394,114977,116131,343570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103801,111404,112256,113031,113619,114191,114876,116136,390983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103783,111420,112263,113028,113616,114207,114873,115651,118064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105046,111412,112255,113031,113616,114197,114883,115652,116153,116931,118058,160448,-1,-1,-1,-1,-1,-1,-1
104431,111419,112258,113023,113606,114200,114864,116132,438674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103490,111424,111951,112452,113030,113619,114210,114877,115675,159847,166378,448635,493897,1132356,-1,-1,-1,-1,-1
103535,111412,112264,113028,113617,114202,114979,116134,445007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104447,111429,112264,113041,113628,114203,114965,115664,722053,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102294,111484,112448,113031,113620,114205,114902,116145,119738,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105480,111414,112086,113027,113618,114254,114901,141362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103607,111496,112264,113024,113624,114218,114901,115658,125079,195969,-1,-1,-1,-1,-1,-1,-1,-1,-1
102556,111484,112448,113025,113604,114477,115364,153543,174287,965846,-1,-1,-1,-1,-1,-1,-1,-1,-1
104848,111768,112454,113027,113618,114202,114977,115656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104469,111468,112074,113026,113720,114228,114867,249961,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103829,111411,111939,112441,113026,113616,114391,114896,115656,124750,181022,1232471,-1,-1,-1,-1,-1,-1,-1
105323,111447,112445,113021,113612,114202,114867,116131,372323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102450,111472,112446,113031,113614,157507,934985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103553,111464,112257,113036,113619,114209,114879,116133,116955,210016,218438,239480,460343,-1,-1,-1,-1,-1,-1
104184,111485,112264,113040,113633,114209,114883,115678,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111474,112438,113011,113608,114191,114959,116129,163815,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103873,111463,112254,113025,113709,114212,114969,119710,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104023,111574,112449,113030,113611,114195,114878,116126,464490,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104472,111475,112259,113026,113614,114195,114873,115376,116138,366327,-1,-1,-1,-1,-1,-1,-1,-1,-1
104243,111477,112453,113023,113610,114199,114876,116146,233484,381141,392333,-1,-1,-1,-1,-1,-1,-1,-1
105015,111482,112259,113014,113612,114198,114875,115660,123051,406911,-1,-1,-1,-1,-1,-1,-1,-1,-1
105751,111460,112445,113014,113612,114202,114867,116114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103186,111481,112087,113031,113632,114887,116145,117282,318506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104697,111460,112445,113012,113606,114204,115346,116129,118079,124474,395868,556267,-1,-1,-1,-1,-1,-1,-1
105097,111677,112454,113019,113617,114197,114867,115654,166660,200806,-1,-1,-1,-1,-1,-1,-1,-1,-1
104191,111394,112259,113026,113620,114195,114885,116032,175594,1233487,-1,-1,-1,-1,-1,-1,-1,-1,-1
103529,111673,112450,113024,113617,114196,114879,135218,509438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104576,111465,112452,113027,113623,114392,114893,116140,119677,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103507,111390,111890,112455,113033,113623,114393,114893,116145,116923,123093,193693,-1,-1,-1,-1,-1,-1,-1
104168,111386,111891,112454,113030,113718,114879,115655,120823,123036,-1,-1,-1,-1,-1,-1,-1,-1,-1
103856,111398,112446,113024,113617,114197,114881,115654,116901,122055,127555,158299,305288,441233,-1,-1,-1,-1,-1
103112,111471,112261,113032,113623,114192,114892,116134,122042,124448,387669,-1,-1,-1,-1,-1,-1,-1,-1
105091,111399,112447,113035,113617,114206,114970,115730,120195,150460,408421,-1,-1,-1,-1,-1,-1,-1,-1
103292,111692,112270,113039,113629,114226,114902,115685,383074,395881,-1,-1,-1,-1,-1,-1,-1,-1,-1
103832,111389,111891,112454,113030,113623,114218,114872,115672,117404,171584,231124,-1,-1,-1,-1,-1,-1,-1
104970,111666,112254,113022,113609,114486,115537,222750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103712,111413,112465,113049,114101,114996,116229,253939,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105524,111391,111891,112450,113029,113612,114199,115043,116135,116934,117634,121174,-1,-1,-1,-1,-1,-1,-1
104410,111399,112257,113034,113617,114201,114773,115546,150412,265776,823067,-1,-1,-1,-1,-1,-1,-1,-1
104146,111272,111772,112452,113037,113618,114191,114962,115665,119263,120721,126735,193603,506782,-1,-1,-1,-1,-1
104404,111765,112449,113023,113621,114205,114869,116130,394875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104429,111399,111902,112467,113041,113614,114115,114898,115717,124149,179737,448737,-1,-1,-1,-1,-1,-1,-1
104734,111387,112256,113032,113615,114208,114884,115661,155059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104188,111673,112254,113030,113613,114201,114880,116132,117226,389496,421451,449174,-1,-1,-1,-1,-1,-1,-1
111385,111964,112468,113025,113611,114207,114964,115767,226635,449632,465711,-1,-1,-1,-1,-1,-1,-1,-1
104225,111400,111904,112457,113039,113625,114223,114883,115673,116299,298698,-1,-1,-1,-1,-1,-1,-1,-1
104176,111390,112262,113031,113631,114209,114888,115597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104238,111394,111895,112449,113031,113715,114294,115341,116138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
