E,vpp,vp,Number of DPs
4285.495230105827,2.08491695,1.04038441,14
4098.168487188625,2.0797152600000004,1.03722394,14
4575.643521611116,2.08149314,1.03952849,17
4136.730703147662,2.08043969,1.03992355,15
4456.033036257404,2.08333671,1.04453254,13
4371.343042254426,2.07853008,1.0396601,14
4464.143791285053,2.08906508,1.04453254,16
4776.581484453737,2.08906508,1.04453254,18
4882.996148856841,2.08906508,1.04453254,12
5230.555848341605,2.08544361,1.04321563,20
4612.972528242709,2.0781351299999997,1.03880417,18
5675.043347514071,2.08504855,1.04282057,18
5362.941118984855,2.08906508,1.04453254,18
4475.821365323894,2.08419263,1.04117453,16
5220.007507384734,2.08083462,1.0410428,18
5187.864373305523,2.07701575,1.03840911,19
5682.259580287177,2.08300745,1.03860664,20
5750.371477563612,2.0762914500000003,1.03722394,22
5287.883140391338,2.08886755,1.04433501,17
5308.696946071063,2.08169067,1.04156959,15
5028.379683998116,2.0778716800000003,1.03781652,15
4885.262029783944,2.08221734,1.04051614,20
5294.313091246069,2.07596231,1.03702641,16
5834.7308638982,2.07839846,1.03979182,16
5388.2798882977895,2.0764889699999998,1.0376848,17
6127.446853507164,2.08353424,1.04453254,20
5769.401027166787,2.08346844,1.04453254,20
6489.709450579791,2.08629966,1.04453254,21
5721.521479892573,2.07589639,1.03722394,25
6210.953912158089,2.08886755,1.04453254,23
8845.118314434112,2.08906508,1.04453254,28
6071.791405978495,2.08906508,1.04453254,24
6470.611576605066,2.08616782,1.04209626,25
6297.346465154489,2.08689225,1.04235971,24
6886.313638290334,2.0845877,1.04453254,21
7005.9072026684935,2.08689225,1.04453254,21
8072.125371675246,2.08024204,1.03788233,21
6048.895210322584,2.0844559599999997,1.03998935,22
7250.326669995838,2.0854436200000004,1.04091108,19
7840.5094065102885,2.0783984699999998,1.03906751,21
7247.310661886605,2.08880162,1.04453254,26
9539.584105129305,2.08906508,1.04453254,19
6851.299434165421,2.0848510300000003,1.04249132,20
7913.375053811003,2.08485115,1.04453254,24
8021.951817214152,2.08906508,1.04453254,23
7752.784264790912,2.07767427,1.03814578,19
7935.032272720209,2.0870897800000003,1.04453254,24
6179.026832862695,2.07727909,1.03742146,21
8064.6683521437335,2.08906508,1.04453254,23
7794.052200592946,2.08906508,1.04453254,23
8288.72709311723,2.08906508,1.04453254,25
9379.065948842368,2.0787276,1.03728974,22
7465.762306537434,2.07833266,1.03854084,18
6601.691089799713,2.08768237,1.04314983,22
6735.056655855365,2.08906508,1.04453254,20
7902.945478808285,2.08511448,1.04453254,21
6679.194831235937,2.0815588199999997,1.04084527,18
9457.011390458469,2.08761645,1.04453254,23
7427.720495537918,2.0799787,1.03998935,18
8423.822577180217,2.0813613,1.04091108,27
6686.502411273294,2.07958364,1.03821158,23
7312.338701443829,2.0782668600000003,1.0389359,21
9498.35755531042,2.08432436,1.04453254,24
6847.701642403664,2.08307338,1.04275477,21
6962.305988679566,2.0832049799999997,1.03919923,18
7003.958829954596,2.08603621,1.04453254,20
7038.419574006389,2.08234895,1.0417012,20
9525.056727733638,2.07846427,1.03867245,19
7860.7060411729135,2.08313907,1.04045022,23
8970.004001996665,2.0788593300000002,1.03847492,23
9185.185040733884,2.07978117,1.03801405,20
8160.235974870947,2.07925439,1.03834331,20
8821.054232068182,2.08307325,1.04124033,24
10380.163118693617,2.08564114,1.04426908,26
7408.52860478247,2.08261239,1.03814578,21
8857.58143841923,2.0866288,1.04209626,18
8514.493666147066,2.0782009400000003,1.03722394,18
8138.919431996887,2.08096624,1.04071355,20
10001.854788765351,2.08610213,1.04453254,24
10067.404400468693,2.08629966,1.04393995,23
8041.30555827813,2.08037377,1.04031861,25
7907.590902968369,2.0791885900000002,1.03952849,21
7197.12804316882,2.08432436,1.04453254,23
8349.993073973697,2.0793861199999997,1.04025269,25
6991.101803813234,2.07714748,1.03821158,18
10756.77942024345,2.08603621,1.04150367,22
9066.88009816772,2.08373177,1.03919923,24
12533.096365455158,2.07964945,1.03906751,27
9589.36792428711,2.0828758499999998,1.03834331,19
10678.347146897693,2.08248067,1.04130614,22
8788.365636870114,2.0839293000000003,1.04453254,23
9595.83422309457,2.07938612,1.03722394,24
8524.638120698804,2.08465362,1.04453254,23
8635.468776209727,2.08155894,1.04183292,25
10338.706292290753,2.08689225,1.04453254,17
10390.132885934836,2.08030784,1.03807986,23
10382.985180533084,2.08906508,1.04453254,22
10952.50741604963,2.08103216,1.03906751,22
10134.657634194318,2.08037377,1.03985763,22
10692.794735365549,2.08452189,1.04453254,19
9764.893589882617,4.15749669,2.07578516,13
12715.729438976285,4.1665835300000005,2.08197474,20
13242.750781579934,4.15604806,2.07749724,23
11181.290403502751,4.15433598,2.07578516,18
14080.398888641492,4.173036809999999,2.08921814,16
10600.301311443613,4.15420436,2.07710218,20
13677.53873979546,4.15696979,2.07578516,19
15188.281133384817,4.15881347,2.07683873,22
11913.519845695599,4.15209699,2.07578516,22
14082.544159636807,4.1527555,2.07591677,24
13789.64330373043,4.15617966,2.07644367,24
16023.657652343574,4.15973544,2.07960439,23
15746.350590196373,4.16026211,2.07578516,22
14618.63445140044,4.1532824,2.07578516,27
14919.494040170526,4.154599190000001,2.07578516,24
17340.832464041705,4.15486265,2.07631183,20
14850.886819406798,4.15710164,2.07855082,22
15360.542187220679,4.15367746,2.07578516,22
19444.529096088114,4.17027116,2.08921814,26
19578.38415014895,4.172904969999999,2.08921814,25
18479.198826980428,4.15433598,2.07578516,20
15372.907646661139,4.15617943,2.07525826,22
16335.164903272087,4.1527555,2.07525826,21
16704.719298650372,4.15591621,2.07578516,26
13742.862806553605,4.1534140100000005,2.07578516,23
17909.865724924326,4.15710139,2.07578516,21
17584.09190899645,4.16289592,2.08302832,20
19153.380941967458,4.1619741900000005,2.08092117,25
19687.05021253018,4.16552997,2.07723379,24
20397.834059903456,4.16026211,2.07591677,22
20198.45795918609,4.15934014,2.08052611,23
18855.346543033793,4.15433598,2.07578516,25
18261.636469078523,4.16342283,2.07855082,22
21288.680967436845,4.16118384,2.07525826,26
18218.897515966746,4.15473104,2.07578516,23
20450.365487860236,4.15433598,2.07578516,21
18659.442166654837,4.1626327,2.08381867,17
18547.796952805267,4.15525771,2.07670689,20
18176.46300192097,4.156179659999999,2.07710218,24
17312.255925728376,4.1564431200000005,2.07578516,24
13247.367145103963,4.1527555,2.07525826,16
14956.26963279646,4.157496699999999,2.07894588,18
20066.217843709634,4.15683794,2.08013105,19
18014.008373665074,4.15855026,2.07578516,17
24562.002983468876,4.164607999999999,2.08013105,19
19069.428792032613,4.15617967,2.07578516,20
18793.814436006483,4.15459919,2.07683873,19
15344.929466057769,4.15420413,2.07723379,18
18314.424123744775,4.15420413,2.07578516,20
19465.495850516425,4.168427469999999,2.08921814,17
12898.427273515017,4.15473104,2.07578516,18
14712.941001728192,4.16302776,2.08513546,23
18113.382353502555,4.15433598,2.07578516,19
17155.43592712562,4.15828657,2.07841897,16
19955.155763706443,4.15855026,2.08065796,19
12797.273412272749,4.15473104,2.07618022,14
19886.874496060747,4.16052556,2.07855082,21
14177.195474487524,4.16105223,2.08263326,18
15000.015830828139,4.15631128,2.07776046,18
17136.064425122117,4.16566181,2.08921814,21
11463.965206320747,4.1557846099999995,2.07723379,17
18222.46130338752,4.15696978,2.07710218,18
22582.341573254977,4.1577599,2.07578516,23
20184.994023765095,4.160130499999999,2.07934093,20
19642.483042528274,4.15723324,2.07578516,22
