0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
103756,111659,128300,134146,143357,148372,153891,160381,169919,178153,188325,196385,209830,214879,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
112410,130843,137786,144443,152597,161340,166439,172500,179547,187932,196957,205506,211626,220988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104720,111588,130518,135655,141064,146545,153737,159055,164446,173787,180381,186349,193810,199321,205583,215344,223549,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104532,111591,132780,138003,145327,152806,158498,165805,173956,179477,184774,190369,196785,213327,219103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104361,111590,136095,143081,151611,159310,165083,171268,178190,186763,192171,201659,224661,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111722,130073,136659,144421,151660,160190,166972,172795,181472,195160,206244,215545,473248,899741,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103620,111590,126929,138648,148432,154745,161733,168061,174598,181334,186427,191961,199026,208193,213408,222668,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104912,111590,130703,136429,143150,149200,158506,165598,171284,176979,181987,187345,195227,201607,206759,211828,223273,232226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105361,111643,132885,138819,145922,151214,157668,166633,176587,182495,188141,197340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105495,112423,125778,134768,141372,147587,153800,162468,167784,173217,178347,186658,196530,201965,209933,222839,228341,234601,948296,1057967,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104423,111594,132204,140768,148203,153729,159132,165604,174807,180591,186544,191939,198088,203508,208829,214995,1056179,1077371,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105671,111797,128130,133870,139866,144888,151477,158982,166476,172626,179173,185764,192815,198520,203567,210576,216608,636829,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105538,112174,126713,132104,140018,145055,153824,162377,167665,172722,177924,183193,188366,196372,202312,210759,217317,621215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105899,111717,131442,136855,142741,150281,159802,165451,172069,177667,182810,187926,198153,217546,426342,601617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106437,111802,130854,139322,144430,149752,155182,160259,166055,171073,178104,186579,195605,201905,210070,217565,225938,237325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105366,113223,119806,129465,136597,142358,149565,155314,160399,165798,171342,180502,188223,196128,204131,220017,226513,237603,1137146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105835,112188,127876,133076,138220,143342,149915,157668,165325,172765,180089,185252,191054,196375,202012,207967,224123,232048,241283,1195437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105196,112392,126535,132410,137896,144886,154179,160770,167488,174603,179882,184884,190713,198636,204226,211329,220103,228855,234101,240402,512599,974248,-1,-1,-1,-1,-1,-1,-1,-1,-1
105480,111598,127067,132624,139676,149089,155186,163503,170304,175405,184110,190250,196988,203525,209061,216199,227561,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105018,112183,127531,134434,141613,152342,157545,163599,169275,175453,181537,186770,198458,204030,216324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105076,112037,130098,137289,142427,151762,159366,164673,171763,177980,185901,193217,198633,206290,214126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106250,111594,130366,135784,143748,149708,154728,159748,169011,176921,184325,189629,196280,201683,206777,213517,221569,1043462,1086388,1102575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105051,111995,124387,130599,139071,145481,154776,160244,165752,172376,178435,187844,192970,204915,229123,1079171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105787,111612,126664,132185,137251,148342,156091,162380,171841,177380,183920,191146,200278,207928,217584,996330,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106222,112052,131663,137531,148731,155702,161357,170161,175262,182257,188665,198253,205330,210338,220137,457633,844987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105939,111594,126883,132494,138730,144676,149889,158837,166801,172890,179031,184660,189909,195081,209395,217260,223028,257833,383463,1027495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106365,111590,126594,132009,139870,148037,155507,161212,167918,173290,179633,185433,190673,198318,203922,211156,216287,223310,231419,239761,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105648,111605,123520,129994,138319,143568,149236,154935,162173,169127,174907,182486,190946,197500,203699,208963,218529,225226,230480,475595,547959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105083,112401,118260,128007,138048,143413,148731,154810,164582,172778,180189,186545,191568,199168,204525,209539,217804,223133,230138,242741,435390,532980,669645,1045124,1168703,-1,-1,-1,-1,-1,-1
106381,111591,120782,127658,137060,142198,147499,153122,160678,169424,178263,184286,190390,196398,204688,210003,216427,226170,231170,402745,526268,706453,1112318,-1,-1,-1,-1,-1,-1,-1,-1
106011,111641,117629,127130,133740,140404,145701,151453,158780,164097,169108,174161,179382,184659,189709,199334,214450,219529,226298,237030,246751,381837,474272,482299,531444,577839,622264,761296,-1,-1,-1
105311,111587,122641,132021,141840,147593,155448,161564,166914,173848,178848,186384,192506,197511,206733,213041,225172,233090,415364,521791,531776,582085,721755,1030530,-1,-1,-1,-1,-1,-1,-1
103281,111411,118170,123537,128969,136964,142989,151093,156326,163034,175535,180929,187821,194708,214089,219352,229994,374738,419676,430547,467853,601260,685386,731624,1054048,-1,-1,-1,-1,-1,-1
111586,121302,128595,135911,141605,146781,154785,160355,166089,171511,179185,186857,192015,200835,208065,226754,237807,244210,252405,418042,528247,628918,875371,942704,-1,-1,-1,-1,-1,-1,-1
105906,111593,124141,129373,134519,140241,148562,155563,161759,172537,179255,188134,194295,201313,210108,222754,451891,565388,571042,780348,1092933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111588,116630,127348,132867,139284,145866,151252,156917,163462,168764,174135,182789,190279,200788,207168,445038,525426,595412,700019,725179,1013950,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105979,112814,126694,136462,145447,150806,157524,164868,170750,176114,181619,189086,197295,207619,228469,416786,470160,516237,569515,790627,1196783,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105696,112807,119933,125992,135187,141362,149305,154849,163845,174634,179790,187297,195882,209336,214415,229935,456567,498430,548697,711239,754980,781637,-1,-1,-1,-1,-1,-1,-1,-1,-1
105409,111586,119948,125018,132200,139200,146528,154461,159911,165141,173652,178927,184248,196141,211796,425749,527869,642711,712353,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105009,111792,116999,128974,134247,142206,147319,153257,158262,164462,170097,175295,181927,188388,199466,209007,220273,229716,241657,393312,781176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104863,111614,117997,127208,132212,137343,146449,152085,159247,168432,174806,180056,186126,196320,203755,210521,215530,221732,237397,437511,518626,545159,670945,691744,711262,1126835,-1,-1,-1,-1,-1
