0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
103127,111439,111944,112508,113008,113788,114571,115356,116150,116950,117745,118542,119326,120139,120913,121706,122506,222381,299872,341640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104383,111409,112437,113236,114188,114975,115763,116265,116886,117680,118467,119260,120061,120851,121649,135585,172393,577120,679537,1034505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103711,111680,112291,112934,113549,114196,115143,116080,116877,117669,118473,119254,120052,140940,173585,334356,527721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103874,111394,111991,112581,113239,114188,114816,115449,116086,116880,117680,118463,119270,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103693,111485,112158,112935,113720,114512,115456,116086,116724,117363,118148,119260,120523,121640,149639,164502,174417,212901,222520,299749,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104853,111235,111761,112444,113399,114187,114970,115474,116077,116725,117344,118140,118641,119252,120526,129908,195027,473071,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102908,111682,112452,113046,113722,114501,115270,115770,116881,117674,118471,119261,120054,126818,158368,161647,187268,219712,767598,1103628,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103852,108613,111289,111878,112440,113243,114196,114978,115478,116091,116891,117674,118467,119261,120051,120853,121639,122430,123226,127843,130550,556913,557486,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104762,111456,112192,112986,113769,114541,115042,115660,116297,116934,117559,118207,119309,120578,144779,145810,146425,157506,166189,172940,197096,341104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104846,111300,111858,112449,112949,113718,114507,115464,116087,116888,117526,118149,118791,120058,122150,125658,147378,164025,178171,196406,222297,234371,388514,453114,490943,941458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
