0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
110615,111271,111938,112479,113141,113811,114344,115713,136318,478210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110596,111327,112041,112542,113099,113821,114404,115721,132251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110592,111252,111765,112349,113140,113681,114698,116665,133199,135374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110590,111460,111967,112533,113186,114095,114948,115936,116555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110599,111679,112367,113368,113973,114525,115142,117024,151520,293943,416677,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110597,111290,111845,112441,113304,114544,116471,129078,606804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110585,111194,111706,112222,112729,113419,114496,115651,228707,229249,391268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110644,111301,112132,112780,113297,113849,114385,114977,115535,117707,418995,451546,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110607,111192,111698,112286,112905,113414,114304,114914,116035,116605,123464,371611,372148,372666,638968,-1,-1,-1,-1,-1,-1,-1
110583,111317,112013,112637,113191,113709,114446,115032,115554,117167,117761,130365,142944,230838,231376,370750,371287,371849,-1,-1,-1,-1
110624,111327,112154,112718,113242,113805,114468,115230,115970,242857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110596,111326,111857,112567,113177,113693,114384,115033,144915,235711,379182,379770,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110641,111257,112128,113104,113749,114687,116522,458890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110579,111176,111712,112482,113068,113965,114502,115195,116244,116838,117529,126548,132348,138194,139543,144120,423298,667055,-1,-1,-1,-1
110617,111457,112334,112871,113650,114618,115174,115784,124904,132545,134085,135074,144224,483301,-1,-1,-1,-1,-1,-1,-1,-1
110642,111653,112304,112836,113796,114390,115082,115794,116406,117057,157014,528829,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
