0,1,2,3,4,5,6,7,8,9,10,11
111496,116842,121842,129664,136970,144713,149825,-1,-1,-1,-1,-1
111485,116788,122065,127095,132542,138884,148416,155990,-1,-1,-1,-1
111502,116771,121896,128170,138419,155813,194088,-1,-1,-1,-1,-1
111496,116757,122230,131908,137034,-1,-1,-1,-1,-1,-1,-1
111502,116840,121885,127179,141435,157823,208210,-1,-1,-1,-1,-1
111501,116795,121812,129821,-1,-1,-1,-1,-1,-1,-1,-1
111505,116716,121808,137063,200076,-1,-1,-1,-1,-1,-1,-1
111510,116715,121927,127174,136830,187255,-1,-1,-1,-1,-1,-1
111497,116842,121870,136205,-1,-1,-1,-1,-1,-1,-1,-1
111484,116620,121710,126989,133080,-1,-1,-1,-1,-1,-1,-1
111498,116813,122177,128965,134441,142105,243240,-1,-1,-1,-1,-1
111488,116768,122083,132498,145184,-1,-1,-1,-1,-1,-1,-1
111498,116817,121846,155812,-1,-1,-1,-1,-1,-1,-1,-1
111486,116775,122400,132661,139822,145780,-1,-1,-1,-1,-1,-1
111499,116850,122012,131698,140125,145499,-1,-1,-1,-1,-1,-1
111492,116795,121833,132212,152089,189383,-1,-1,-1,-1,-1,-1
111497,116855,122161,132135,149539,-1,-1,-1,-1,-1,-1,-1
111499,116801,121808,128486,139405,152539,179778,214826,-1,-1,-1,-1
111495,116842,122131,127169,137505,145546,154342,167336,-1,-1,-1,-1
111489,116505,121828,139590,166603,-1,-1,-1,-1,-1,-1,-1
111502,116835,122218,130082,135957,141434,149423,161113,168033,180907,199587,-1
111504,116867,121872,130614,144205,166334,172628,190702,-1,-1,-1,-1
111496,116772,121970,127352,133397,154566,-1,-1,-1,-1,-1,-1
111500,116842,121927,128826,136041,146521,-1,-1,-1,-1,-1,-1
111506,116806,121929,128969,142901,148153,-1,-1,-1,-1,-1,-1
111505,116512,121918,133799,140956,182142,188078,-1,-1,-1,-1,-1
111482,116759,121884,131495,138249,143575,165678,-1,-1,-1,-1,-1
111482,116839,122262,132497,137847,144015,151659,159237,-1,-1,-1,-1
111500,116747,122029,130371,139511,151117,173947,-1,-1,-1,-1,-1
111484,116766,121809,132575,139811,149044,-1,-1,-1,-1,-1,-1
111506,116831,122337,129730,139300,149090,157898,172936,-1,-1,-1,-1
111489,116732,121994,127636,136632,-1,-1,-1,-1,-1,-1,-1
111504,116803,121824,127140,133030,143852,176102,192404,-1,-1,-1,-1
